"Submit","Провести"
"Sheet","Листовой"
"Coil","Рулонный"
"|||			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.|||			Please add a stock quantity of {4} to proceed with this entry.|||			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.|||			However, enabling this setting may lead to negative stock in the system.|||			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","|||			Серия {0} номенклатуры {1} имеет отрицательный остаток на складе {2}{3}.|||			Пожалуйста, добавьте количество {4} для продолжения.|||			Если невозможно выполнить корректировку, включите опцию 'Разрешить отрицательный остаток для серии' в настройках Склада для продолжения.|||			Однако включение этого параметра может привести к отрицательному остатку в системе.|||			Поэтому убедитесь, что уровни запасов скорректированы как можно скорее для сохранения правильной цены оценки."
"Is Child Table","Подчинённая таблица"
"Name","Наименование"
"Summary","Краткое описание"
"to your browser","в ваш браузер"
"""Company History""","История компании"
"""Customer Provided Item"" cannot be Purchase Item also","Номенклатура, поставляемая заказчиком, не может быть закупочным товаром"
"""Customer Provided Item"" cannot have Valuation Rate","Номенклатура, поставляемая заказчиком, не может иметь цену оценки"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","Опция 'Основной актив' не может быть снята, так как на номенклатуру имеется запись Актива"
"""Parent"" signifies the parent table in which this row must be added","Родитель означает родительскую таблицу, в которую должна быть добавлена эта строка"
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""ПС-01::10"" для ""ПС-01"" до ""ПС-10"""
"""Team Members"" or ""Management""","Члены команды или Руководство"
"""amended_from"" field must be present to do an amendment.","Поле 'amended_from' должно быть заполнено для проведения изменения"
"""{0}"" is not a valid Google Sheets URL","{0} не является корректным URL Google Таблиц"
"# In Stock","# В наличии"
"# Req'd Items","# Требуемые номенклатуры"
"${values.doctype_name} has been added to queue for optimization","${values.doctype_name} добавлен в очередь оптимизации"
"%  Delivered","% Доставлено"
"% Amount Billed","% Сумма выставлена в счёт"
"% Billed","% Выставлено в счёт"
"% Complete Method","Метод % готовности"
"% Completed","% Завершено"
"% Delivered","% Доставлено"
"% Finished Item Quantity","% Количество готовой продукции"
"% Installed","% Установлено"
"% Occupied","% Занято"
"% Of Grand Total","% Общей суммы"
"% Ordered","% Заказано"
"% Picked","% Отобрано"
"% Process Loss","% Потерь при обработке"
"% Progress","% Выполнения"
"% Received","% Получено"
"% Returned","% Возвращено"
"% of materials billed against this Sales Order","% материалов выставлено в счёт по данному Заказу покупателя"
"% of materials delivered against this Pick List","% материалов доставлено по данному Листу отбора"
"% of materials delivered against this Sales Order","% материалов доставлено по данному Заказу покупателя"
"&copy; Frappe Technologies Pvt. Ltd. and contributors","&copy; Frappe Technologies Pvt. Ltd. и соавторы"
"'Account' in the Accounting section of Customer {0}","Счёт в разделе Учёта Контрагента {0}"
"'Allow Multiple Sales Orders Against a Customer's Purchase Order'","Разрешить несколько Заказов покупателя против Заказа поставщика Контрагента"
"'Based On' and 'Group By' can not be same","'На основе' и 'Группировать по' не могут быть одинаковыми"
"'Days Since Last Order' must be greater than or equal to zero","'Дни с момента последнего заказа' должно быть больше или равно нулю"
"'Default {0} Account' in Company {1}","'Счет {0} по умолчанию' в Компании {1}"
"'Entries' cannot be empty","'Записи' не могут быть пустыми"
"'From Date' is required","'Дата начала' обязательна"
"'From Date' must be after 'To Date'","'Дата начала' должна быть позже 'Даты окончания'"
"'Has Serial No' can not be 'Yes' for non-stock item","'Есть серийный номер' не может быть 'Да' для номенклатуры вне склада"
"'In Global Search' is not allowed for field {0} of type {1}","'В глобальном поиске' недопустимо для поля {0} типа {1}"
"'In Global Search' not allowed for type {0} in row {1}","'В глобальном поиске' недопустимо для типа {0} в строке {1}"
"'In List View' is not allowed for field {0} of type {1}","'В представлении списка' недопустимо для поля {0} типа {1}"
"'In List View' not allowed for type {0} in row {1}","'В представлении списка' недопустимо для типа {0} в строке {1}"
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","'Проверка качества обязательна перед отгрузкой' отключена для номенклатуры {0}, нет необходимости создавать акт проверки"
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","'Проверка качества обязательна перед закупкой' отключена для номенклатуры {0}, нет необходимости создавать акт проверки"
"'Opening'","'Открытие'"
"'Recipients' not specified","'Получатели' не указаны"
"'To Date' is required","'Дата окончания' обязательна"
"'To Package No.' cannot be less than 'From Package No.'","'По номер упаковки' не может быть меньше 'От номера упаковки'"
"'Update Stock' can not be checked because items are not delivered via {0}","'Обновить запас' не может быть отмечено, так как номенклатура не поступила через {0}"
"'Update Stock' cannot be checked for fixed asset sale","'Обновить запас' не может быть отмечено для продажи основного средства"
"'{0}' account is already used by {1}. Use another account.","Счет '{0}' уже используется {1}. Используйте другой счет."
"'{0}' is not a valid IBAN","'{0}' не является корректным IBAN"
"'{0}' is not a valid URL","'{0}' не является корректным URL"
"'{0}' not allowed for type {1} in row {2}","'{0}' недопустимо для типа {1} в строке {2}"
"'{0}' should be in company currency {1}.","'{0}' должно быть в валюте компании {1}."
"(A) Qty After Transaction","(A) Кол-во после операции"
"(B) Expected Qty After Transaction","(B) Ожидаемое кол-во после операции"
"(C) Total Qty in Queue","(C) Общее кол-во в очереди"
"(C) Total qty in queue","(C) Общее кол-во в очереди"
"(D) Balance Stock Value","(D) Остаток стоимости запаса"
"(E) Balance Stock Value in Queue","(E) Остаток стоимости запаса в очереди"
"(F) Change in Stock Value","(F) Изменение стоимости запаса"
"(Forecast)","(Прогноз)"
"(G) Sum of Change in Stock Value","(G) Сумма изменения стоимости запаса"
"(H) Change in Stock Value (FIFO Queue)","(H) Изменение стоимости запаса (очередь FIFO)"
"(H) Valuation Rate","(H) Курс переоценки"
"(Hour Rate / 60) * Actual Operation Time","(Часовой тариф / 60) * Фактическое время операции"
"(I) Valuation Rate","(I) Курс переоценки"
"(J) Valuation Rate as per FIFO","(J) Курс переоценки по методу FIFO"
"(K) Valuation = Value (D) ÷ Qty (A)","(K) Переоценка = Стоимость (D) ÷ Кол-во (A)"
"(Mandatory)","(Обязательно)"
"(including)","(включительно)"
"* Will be calculated in the transaction.","* Будет рассчитано в документе."
"** Failed: {0} to {1}: {2}","** Ошибка: {0} к {1}: {2}"
"+ Add / Remove Fields","+ Добавить / Удалить поля"
"0 - 30 Days","0 - 30 дней"
"0 - Draft; 1 - Submitted; 2 - Cancelled","0 - Черновик; 1 - Проведён; 2 - Отменён"
"0 is highest","0 — наивысший приоритет"
"0-30 Days","0-30 дней"
"1 = True & 0 = False","1 = Истина & 0 = Ложь"
"1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent","1 валюта = [?] доля|||Например: 1 USD = 100 центов"
"1 Day","1 день"
"1 Google Calendar Event synced.","1 событие Google Календаря синхронизировано."
"1 Loyalty Points = How much base currency?","1 балл лояльности = сколько базовой валюты?"
"1 Report","1 отчёт"
"1 comment","1 комментарий"
"1 day ago","1 день назад"
"1 hour","1 час"
"1 hour ago","1 час назад"
"1 hr","1 ч"
"1 minute ago","1 минуту назад"
"1 month ago","1 месяц назад"
"1 of 2","1 из 2"
"1 record will be exported","1 запись будет экспортирована"
"1 row from {0}","1 строка из {0}"
"1 row to {0}","1 строка в {0}"
"1 second ago","1 секунду назад"
"1 week ago","1 неделю назад"
"1 year ago","1 год назад"
"2 Yearly","2 раза в год"
"2 hours ago","2 часа назад"
"2 months ago","2 месяца назад"
"2 weeks ago","2 недели назад"
"2 years ago","2 года назад"
"3 Yearly","3 раза в год"
"<li>Item {0} in row(s) {1} billed more than {2}</li>","<li>Номенклатура {0} в строке(ах) {1} счётована более чем на {2}</li>"
"<li>Packed Item {0}: Required {1}, Available {2}</li>","<li>Упакованная номенклатура {0}: требуется {1}, доступно {2}</li>"
"<p><strong>{{ __(""Condition Examples"") }}:</strong></p>|||<pre><code class=""language-python"">doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</code></pre>|||","<p><strong>{{ __(""Примеры условий"") }}:</strong></p>|||<pre><code class=""language-python"">doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</code></pre>|||"
"<p><strong>{{ __(""Condition Examples"") }}:</strong></p>|||<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</pre>","<p><strong>{{ __(""Примеры условий"") }}:</strong></p>|||<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</pre>"
"<p>Cannot overbill for the following Items:</p>","<p>Невозможно превышать счёт для следующих номенклатур:</p>"
"<p>Following {0}s doesn't belong to Company {1} :</p>","<p>Следующие {0} не принадлежат организации {1}:</p>"
"<p>In your <b>Email Template</b>, you can use the following special variables:|||</p>|||<ul>|||        <li>|||            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.|||        </li>|||        <li>|||            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.|||        </li>|||        <li>|||            <code>{{ supplier_name }}</code>: The company name of your supplier.|||        </li>|||        <li>|||            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.|||        </li><li>|||            <code>{{ user_fullname }}</code>: Your full name.|||        </li>|||    </ul>|||<p></p>|||<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>В вашем <b>шаблоне письма</b> вы можете использовать следующие специальные переменные:|||</p>|||<ul>|||        <li>|||            <code>{{ update_password_link }}</code>: ссылка, по которой ваш поставщик сможет установить новый пароль для входа на ваш портал.|||        </li>|||        <li>|||            <code>{{ portal_link }}</code>: ссылка на данный РЗП на портале поставщика.|||        </li>|||        <li>|||            <code>{{ supplier_name }}</code>: название компании поставщика.|||        </li>|||        <li>|||            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: контактное лицо поставщика.|||        </li><li>|||            <code>{{ user_fullname }}</code>: ваше полное имя.|||        </li>|||    </ul>|||<p></p>|||<p>Помимо этого, вы можете получить доступ ко всем значениям в этом РЗП, например <code>{{ message_for_supplier }}</code> или <code>{{ terms }}</code>.</p>"
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>|||<p>If you create a separate webform every year to capture feedback from employees add a ||| field named year in doctype and add a filter <b>year = 2023</b></p>|||","<p>Для одного типа документа можно создать несколько веб-форм. Добавьте фильтры, специфичные для этой веб-формы, чтобы отобразить правильную запись после отправки.</p><p>Например:</p>|||<p>Если вы создаёте отдельную веб-форму каждый год для сбора отзывов от сотрудников, добавьте ||| поле с именем year в тип документа и добавьте фильтр <b>year = 2023</b></p>|||"
"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario, setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p>Are you sure you want to continue?","<p>Цена из прайс-листа не установлена как редактируемая в параметрах продаж. В этом случае установка параметра <strong>Обновлять цену списка на основе</strong> на <strong>Цена из прайс-листа</strong> предотвратит автоматическое обновление цены номенклатуры.</p>Вы уверены, что хотите продолжить?"
"<p>Set context before rendering a template. Example:</p><p>|||</p><div><pre><code>|||context.project = frappe.get_doc(""Project"", frappe.form_dict.name)|||</code></pre></div>","<p>Установите контекст перед рендерингом шаблона. Пример:</p><p>|||</p><div><pre><code>|||context.project = frappe.get_doc(""Project"", frappe.form_dict.name)|||</code></pre></div>"
"<p>To allow over-billing, please set allowance in Accounts Settings.</p>","<p>Чтобы разрешить перевыставление счёта, установите допуск в параметрах учета.</p>"
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default|||let some_class_element = root_element.querySelector('.some-class');|||some_class_element.textContent = ""New content"";|||</code></pre>","<p>Для взаимодействия с приведённым выше HTML вам нужно использовать `root_element` в качестве селектора родителя.</p><p>Например:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// здесь root_element предоставляется по умолчанию|||let some_class_element = root_element.querySelector('.some-class');|||some_class_element.textContent = ""New content"";|||</code></pre>"
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p>Ваш секрет OTP на {0} был сброшен. Если вы не выполняли этот сброс и не запрашивали его, немедленно свяжитесь с администратором системы.</p>"
"<pre>*  *  *  *  *|||┬  ┬  ┬  ┬  ┬|||│  │  │  │  │|||│  │  │  │  └ day of week (0 - 6) (0 is Sunday)|||│  │  │  └───── month (1 - 12)|||│  │  └────────── day of month (1 - 31)|||│  └─────────────── hour (0 - 23)|||└──────────────────── minute (0 - 59)||||||---||||||* - Any value|||/ - Step values|||</pre>|||","<pre>*  *  *  *  *|||┬  ┬  ┬  ┬  ┬|||│  │  │  │  │|||│  │  │  │  └ день недели (0 - 6) (0 это воскресенье)|||│  │  │  └───── месяц (1 - 12)|||│  │  └────────── день месяца (1 - 31)|||│  └─────────────── час (0 - 23)|||└──────────────────── минута (0 - 59)||||||---||||||* - любое значение|||/ - пошаговые значения|||</pre>|||"
"<pre><code>doc.grand_total &gt; 0</code></pre>||||||<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>|||<p>Allowed functions:|||</p><ul>|||<li>frappe.db.get_value</li>|||<li>frappe.db.get_list</li>|||<li>frappe.session</li>|||<li>frappe.utils.now_datetime</li>|||<li>frappe.utils.get_datetime</li>|||<li>frappe.utils.add_to_date</li>|||<li>frappe.utils.now</li>|||</ul>|||<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>||||||<p>Условия должны быть написаны на простом Python. Используйте только свойства, доступные в форме.</p>|||<p>Допустимые функции:|||</p><ul>|||<li>frappe.db.get_value</li>|||<li>frappe.db.get_list</li>|||<li>frappe.session</li>|||<li>frappe.utils.now_datetime</li>|||<li>frappe.utils.get_datetime</li>|||<li>frappe.utils.add_to_date</li>|||<li>frappe.utils.now</li>|||</ul>|||<p>Пример: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>"
"<pre><h5>Message Example</h5>||||||&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;||||||&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;||||||</pre>|||","<pre><h5>Пример сообщения</h5>||||||&lt;p&gt; Спасибо, что вы часть компании {{ doc.company }}! Надеемся, вам нравится наш сервис.&lt;/p&gt;||||||&lt;p&gt; Приложенной вы найдёте электронный счёт. Сумма к оплате составляет {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;p&gt; Мы не хотим, чтобы вы тратили время на бегание по офисам для оплаты счёта.<br>Ведь жизнь прекрасна, и вы должны наслаждаться каждой её минутой!<br>Поэтому вот несколько способов, которыми мы помогаем вам найти больше времени для себя! &lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; нажмите здесь для оплаты &lt;/a&gt;||||||</pre>|||"
"<pre><h5>Message Example</h5>||||||&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;||||||&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;||||||</pre>|||","<pre><h5>Пример сообщения</h5>||||||&lt;p&gt;Уважаемый(ая) {{ doc.contact_person }},&lt;/p&gt;||||||&lt;p&gt;Запрос оплаты за {{ doc.doctype }}, {{ doc.name }} на сумму {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; нажмите здесь для оплаты &lt;/a&gt;||||||</pre>|||"
"<strong>Grand Total:</strong> {0}","<strong>Итого:</strong> {0}"
"<strong>Outstanding Amount:</strong> {0}","<strong>Сумма к оплате:</strong> {0}"
"<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.","<strong>Внимание:</strong> Это поле генерируется системой и может быть перезаписано при обновлении. Модифицируйте его с помощью {0}."
"<table class=""table table-bordered table-condensed"">|||<thead>|||  <tr>|||         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>|||         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>|||   </tr>|||</thead>|||<tbody>|||<tr>|||         <td>|||                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>||||||         </td>|||         <td>|||                    <p>To access document field use doc.fieldname </p>|||         </td>|||</tr>|||<tr>|||        <td>|||                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>||||||        </td>|||         <td>|||                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    |||          </td>|||</tr>||||||</tbody>|||</table>|||||||||||||||||||||","<table class=""table table-bordered table-condensed"">|||<thead>|||  <tr>|||         <th class=""table-sr"" style=""width: 50%;"">Дочерний документ</th>|||         <th class=""table-sr"" style=""width: 50%;"">Независимый документ</th>|||   </tr>|||</thead>|||<tbody>|||<tr>|||         <td>|||                  <p> Для доступа к полю родительского документа используйте parent.fieldname, а для доступа к полю дочернего документа таблицы используйте doc.fieldname </p>||||||         </td>|||         <td>|||                    <p>Для доступа к полю документа используйте doc.fieldname </p>|||         </td>|||</tr>|||<tr>|||        <td>|||                   <p><b>Пример: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>||||||        </td>|||         <td>|||                   <p><b>Пример: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    |||          </td>|||</tr>||||||</tbody>|||</table>|||||||||||||||||||||"
"A Customer Group exists with same name please change the Customer name or rename the Customer Group","Существует группа покупателей с тем же названием; измените название покупателя или переименуйте группу покупателей"
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","Название типа документа должно начинаться с буквы и может содержать только буквы, цифры, пробелы, подчёркивания и дефисы"
"A Holiday List can be added to exclude counting these days for the Workstation.","Календарь праздничных дней может быть добавлен, чтобы исключить эти дни при подсчёте для рабочей станции."
"A Lead requires either a person's name or an organization's name","Интересант должен иметь либо имя человека, либо название организации"
"A Packing Slip can only be created for Draft Delivery Note.","Сопроводительная накладная может быть создана только для проекта приёмки товара в статусе Черновик."
"A Price List is a collection of Item Prices either Selling, Buying, or both","Прайс-лист — это набор цен номенклатуры для продажи, покупки или обоих"
"A Product or a Service that is bought, sold or kept in stock.","Продукция или услуга, которые закупаются, продаются или хранятся на складе."
"A Reconciliation Job {0} is running for the same filters. Cannot reconcile now","Задание на сверку {0} уже запущено для тех же фильтров. Невозможно выполнить сверку сейчас"
"A Transaction Deletion Document: {0} is triggered for {0}","Документ удаления транзакции: {0} запущен для {0}"
"A condition for a Shipping Rule","Условие для правила доставки"
"A customer must have primary contact email.","Покупатель должен иметь основной адрес электронной почты для контакта."
"A driver must be set to submit.","Водитель должен быть установлен для проведения."
"A featured post must have a cover image","Рекомендуемый пост должен иметь изображение обложки"
"A field with the name {0} already exists in {1}","Поле с названием {0} уже существует в {1}"
"A file with same name {} already exists","Файл с названием {} уже существует"
"A list of resources which the Client App will have access to after the user allows it.<br> e.g. project","Список ресурсов, к которым клиентское приложение будет иметь доступ после одобрения пользователем.<br> например, проект"
"A logical Warehouse against which stock entries are made.","Логический склад, по отношению к которому выполняются складские операции."
"A new account has been created for you at {0}","Для вас была создана новая учётная запись на {0}"
"A new appointment has been created for you with {0}","Для вас была создана новая встреча с {0}"
"A new fiscal year has been automatically created.","Новый финансовый год был автоматически создан."
"A recurring {0} {1} has been created for you via Auto Repeat {2}.","Повторяющийся {0} {1} был создан для вас посредством автоповтора {2}."
"A symbol for this currency. For e.g. $","Символ валюты. Например $"
"A template already exists for field {0} of {1}","Шаблон уже существует для поля {0} в {1}"
"A template with tax category {0} already exists. Only one template is allowed with each tax category","Шаблон с категорией налога {0} уже существует. Только один шаблон разрешён для каждой категории налога"
"A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.","Сторонний дистрибьютор / дилер / комиссионер / аффилиат / реселлер, продающий продукцию компании за комиссию."
"A word by itself is easy to guess.","Отдельное слово легко угадать."
"ALL","ВСЕ"
"AMC Expiry Date","Дата истечения AMC"
"API Access","Доступ API"
"API Details","Детали API"
"API Endpoint","Конечная точка API"
"API Endpoint Args","Аргументы конечной точки API"
"API Endpoint Args should be valid JSON","Аргументы конечной точки API должны быть в формате JSON"
"API Key","Ключ API"
"API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.","Ключ API и секрет для взаимодействия с сервером ретрансляции. Они будут автоматически созданы при отправке первого push-уведомления из любого из приложений, установленных на этом сайте."
"API Key cannot be regenerated","Ключ API невозможно переregenerировать"
"API Keys","Ключи API"
"API Logging","Логирование API"
"API Method","Метод API"
"API Secret","Секрет API"
"ASC","ВОЗ"
"AWB Number","Номер AWB"
